# ID,farmer_ID,area,CRP_eligible,slope,soil_loss_coef
0,822,89.51119875,0,0,50
1,98,29.20707642,0,0,50
2,98,59.30895647,0,0,50
3,822,63.83824375,0,0,50
4,98,13.21168645,0,0,50
5,98,8.296476879,0,0,50
6,98,41.23184798,0,0,50
7,98,26.78278407,0,0,50
8,98,23.08845437,0,0,50
9,98,43.55429203,0,0,50
10,98,32.57375228,0,0,50
11,82,14.41076495,0,0,50
12,98,100.2752417,0,0,50
13,98,17.47086701,0,0,50
14,822,26.94886954,0,0,50
15,822,32.19516522,0,0,50
16,98,21.38757204,0,0,50
17,98,19.7379421,0,0,50
18,98,15.08559942,0,0,50
19,98,9.417886308,0,0,50
20,98,19.22455741,0,0,50
21,98,24.80984289,0,0,50
22,98,25.35497923,0,0,50
23,98,7.627658293,0,0,50
24,559,15.96300152,0,0,50
25,82,64.80525141,0,0,50
26,82,25.93292572,0,0,50
27,98,20.45435647,0,0,50
28,82,23.54380895,0,0,50
29,98,38.6937136,0,0,50
30,82,34.84218337,0,0,50
31,98,17.31107439,0,0,50
32,98,19.50779899,0,0,50
33,82,9.402777504,0,0,50
34,98,15.01226728,0,0,50
35,98,13.30247094,0,0,50
36,98,11.44303687,0,0,50
37,559,13.92315125,0,0,50
38,98,4.542597886,0,0,50
39,82,42.74599138,0,0,50
40,98,15.26211627,0,0,50
41,98,9.832639987,0,0,50
42,98,13.4916972,0,0,50
43,559,20.74805284,0,0,50
44,559,208.5315175,0,0,50
45,82,11.41025042,0,0,50
46,98,19.9638265,0,0,50
47,98,46.99272562,0,0,50
48,98,80.00220934,0,0,50
49,98,8.424290812,0,0,50
50,98,0.089995947,0,0,50
51,98,52.72286499,0,0,50
52,98,17.0147618,0,0,50
53,98,8.115233063,0,0,50
54,82,20.08693609,0,0,50
55,82,113.3647709,0,0,50
56,98,12.34457745,0,0,50
57,559,98.35575814,0,0,50
58,559,32.39616979,0,0,50
59,82,34.71401314,0,0,50
60,559,49.20202189,0,0,50
61,559,20.96826929,0,0,50
62,559,58.80839513,0,0,50
63,82,35.08721742,0,0,50
64,98,53.11020489,0,0,50
65,82,184.6810381,0,0,50
66,82,7.234499682,0,0,50
67,152,14.57669,0,0,50
68,82,199.2177326,1,0,50
69,98,26.46319148,0,0,50
70,98,22.16148851,0,0,50
71,98,9.978029762,0,0,50
72,98,22.04710715,0,0,50
73,98,14.98018116,0,0,50
74,98,32.64224762,0,0,50
75,82,102.6311588,1,0,50
76,98,27.92067533,0,0,50
77,98,16.43153252,0,0,50
78,559,23.51564731,0,0,50
79,82,208.6465091,0,0,50
80,82,22.80013517,0,0,50
81,98,53.95536149,0,0,50
82,559,33.12171207,0,0,50
83,531,6.242233034,0,0,50
84,559,59.80784297,0,0,50
85,98,15.17478136,0,0,50
86,152,7.256852657,0,0,50
87,98,9.758249789,0,0,50
88,98,13.46507579,0,0,50
89,152,24.00382872,0,0,50
90,98,11.12554246,0,0,50
91,98,18.71888309,0,0,50
92,152,13.68237482,0,0,50
93,559,29.69946033,0,0,50
94,152,24.82706151,0,0,50
95,82,31.02919261,0,0,50
96,82,60.82617295,1,0,50
97,98,23.48803604,0,0,50
98,531,0.090006618,0,0,50
99,98,21.89744719,0,0,50
100,531,20.91365363,0,0,50
101,559,57.32560938,0,0,50
102,82,25.07998997,1,0,50
103,559,44.13364561,0,0,50
104,152,16.74464835,0,0,50
105,559,31.04790953,0,0,50
106,559,16.71557087,0,0,50
107,82,48.05531328,1,0,50
108,98,47.47170944,0,0,50
109,559,22.34742284,0,0,50
110,531,8.565895283,0,0,50
111,98,38.52782463,0,0,50
112,554,27.30035499,0,0,50
113,554,44.51615307,0,0,50
114,531,13.67734867,0,0,50
115,559,20.15930748,0,0,50
116,559,18.37083071,0,0,50
117,98,34.05389268,0,0,50
118,98,48.09909861,0,0,50
119,531,23.18384116,0,0,50
120,82,37.99518004,0,0,50
121,98,19.51818866,0,0,50
122,559,58.88186115,0,0,50
123,82,4.89050366,1,0,50
124,82,14.10510127,1,0,50
125,98,54.61534711,0,0,50
126,559,68.23976404,0,0,50
127,98,46.94666614,1,0,50
128,554,12.61463337,0,0,50
129,531,12.56614819,0,0,50
130,531,7.311496599,0,0,50
131,152,32.60448084,0,0,50
132,152,19.83310424,0,0,50
133,531,9.336855477,0,0,50
134,152,17.02940752,0,0,50
135,98,5.752085823,0,0,50
136,82,201.0367322,1,0,50
137,152,101.4016695,0,0,50
138,82,11.04259244,1,0,50
139,82,258.8908978,1,0,50
140,82,42.27882313,1,0,50
141,82,36.42818043,0,0,50
142,82,69.32934009,1,0,50
143,152,17.60435254,0,0,50
144,82,13.25830797,1,0,50
145,531,9.319302487,0,0,50
146,559,33.6209657,0,0,50
147,559,25.39618504,0,0,50
148,82,29.3329552,1,0,50
149,152,10.24933443,0,0,50
150,82,22.19279226,1,0,50
151,559,21.93120174,0,0,50
152,559,42.53876395,0,0,50
153,152,13.2414716,0,0,50
154,559,18.94663702,0,0,50
155,98,30.85657783,0,0,50
156,559,30.72673907,0,0,50
157,98,12.8207546,1,0,50
158,98,16.88871544,1,0,50
159,531,53.65528216,0,0,50
160,98,12.77193602,1,0,50
161,554,25.53722807,0,0,50
162,152,43.02682872,0,0,50
163,554,9.450590106,0,0,50
164,152,14.62680783,0,0,50
165,82,22.51702882,1,0,50
166,559,19.55824153,0,0,50
167,82,23.95470402,1,0,50
168,82,51.70971821,1,0,50
169,82,74.32440347,1,0,50
170,531,10.64883226,0,0,50
171,98,4.683702109,1,0,50
172,82,13.83696883,1,0,50
173,554,124.9688959,0,0,50
174,82,78.47618315,1,0,50
175,98,104.1927248,1,0,50
176,559,25.29284391,1,0,50
177,559,18.21412207,1,0,50
178,82,10.50858245,1,0,50
179,531,17.85365937,0,0,50
180,531,19.47279623,0,0,50
181,531,8.32997674,0,0,50
182,82,13.31917691,1,0,50
183,82,28.90957394,1,0,50
184,554,5.440848351,0,0,50
185,82,35.15488801,1,0,50
186,554,15.20030177,0,0,50
187,531,12.89401391,0,0,50
188,531,19.30426673,0,0,50
189,559,5.640176816,1,0,50
190,98,19.98159273,1,0,50
191,98,18.97632496,1,0,50
192,531,9.417671717,0,0,50
193,152,49.16571845,0,0,50
194,559,8.219327115,0,0,50
195,98,24.52997301,1,0,50
